path,type,rms,centroid,rolloff,zcr,tempo,density,key_guess
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 5.wav,Kick,0.265071,375.69,485.39,0.006429,0.0,3.6667,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 11.wav,Kick,0.184373,786.65,1454.84,0.01534,0.0,11.0002,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 10.wav,Kick,0.158239,779.88,2093.66,0.004578,0.0,1.8334,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 4.wav,Kick,0.312513,200.34,351.71,0.004517,0.0,5.5001,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 6.wav,Kick,0.168004,893.87,2029.06,0.028483,0.0,3.6667,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 12.wav,Kick,0.151618,2286.67,3991.89,0.1891,0.0,6.4165,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 13.wav,Kick,0.01898,3486.99,6193.77,0.284336,0.0,2.7498,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 7.wav,Kick,0.220792,492.82,793.14,0.005432,0.0,3.6667,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 3.wav,Kick,0.157005,2077.43,4548.44,0.082865,0.0,7.3335,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 17.wav,Kick,0.122026,2013.64,4221.85,0.072367,0.0,3.6667,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 16.wav,Kick,0.268819,226.57,389.84,0.005371,0.0,5.5001,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 2.wav,Kick,0.229733,503.25,625.81,0.006144,0.0,3.6667,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 14.wav,Kick,0.170943,1412.3,2846.87,0.087646,0.0,3.6667,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 15.wav,Kick,0.194176,287.51,455.79,0.005412,0.0,3.6667,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 1.wav,Kick,0.307472,963.91,2147.94,0.009521,0.0,7.3476,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 9.wav,Kick,0.206144,938.81,2066.29,0.02004,0.0,7.3335,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Kick/Kick 8.wav,Kick,0.234896,305.39,453.54,0.005941,0.0,3.6667,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Rides/Ride 1.wav,Ride,0.04455,5387.87,8890.46,0.468085,0.0,3.6666,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Rides/Ride 2.wav,Ride,0.063993,5382.48,8114.58,0.506971,0.0,3.6669,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Rides/Ride 3.wav,Ride,0.053412,6185.06,9240.88,0.548604,0.0,5.4997,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Rides/Ride 7.wav,Ride,0.039914,4773.79,7206.45,0.339627,0.0,9.7783,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Rides/Ride 6.wav,Ride,0.164848,6525.58,9072.5,0.564283,0.0,5.6801,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Rides/Ride 4.wav,Ride,0.03335,6831.27,8793.62,0.659729,0.0,10.9993,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Rides/Ride 5.wav,Ride,0.029252,6292.15,9295.42,0.550339,0.0,7.3329,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Rides/Ride 8.wav,Ride,0.03222,3816.23,7083.51,0.247278,0.0,11.9219,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Rides/Ride 9.wav,Ride,0.043228,4564.35,6941.49,0.317854,0.0,12.1379,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Hats/Closed Hat 5.wav,Hat,0.036047,5210.94,8608.8,0.406372,0.0,14.6682,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Hats/Closed Hat 4.wav,Hat,0.063014,4147.33,7317.7,0.27653,0.0,7.3329,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Hats/Open Hat 1.wav,Hat,0.070011,4280.27,6741.39,0.351739,0.0,7.3333,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Hats/Open Hat 3.wav,Hat,0.048236,6091.12,9271.84,0.516547,0.0,4.8886,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Hats/Open Hat 2.wav,Hat,0.045311,6371.31,8621.86,0.583322,0.0,2.9334,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Hats/Closed Hat 3.wav,Hat,0.015017,5704.4,9173.14,0.47526,0.0,3.6664,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Hats/Closed Hat 2.wav,Hat,0.016869,4463.2,7489.52,0.350484,0.0,7.3329,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Hats/Closed Hat 1.wav,Hat,0.026707,5502.23,8749.06,0.463406,0.0,2.4443,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Hats/Open Hat 4.wav,Hat,0.034395,3512.19,5713.69,0.280056,0.0,5.238,
